"Category","Trading Hours","Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"BYO Permit","Unspecified","Unspecified","MOUNT HOTHAM","3741","-36.98402920","147.14433380","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14823700","146.44538800","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","HOTHAM HEIGHTS","3741","-36.98403930","147.14439780","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","HOTHAM HEIGHTS","3741","-36.98402920","147.14433380","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.79033900","145.27299300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MELBOURNE","3004","-37.84548700","144.97760300","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","BALLARAT","3350","-37.58213260","143.88195740","Grampians","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BAW BAW","3833","-37.84004196","146.26549200","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BAW BAW","3825","-37.83886600","146.26298800","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","BALWYN NORTH","3104","-37.80059347","145.08348830","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14851753","146.44525670","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14808600","146.44571800","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14692000","146.45244400","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","DROMANA","3936","-38.33545562","144.96981020","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BAW BAW","3833","-37.84094900","146.26702600","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT HOTHAM","3741","-36.98634600","147.14706500","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3722","-37.14800407","146.45364100","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT HOTHAM","3741","-36.99497600","147.15139300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.14682400","146.45494300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT HOTHAM","3741","-36.99497600","147.15139300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT BULLER","3723","-37.14530600","146.44678200","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14636430","146.45146890","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOONEE PONDS","3039","-37.76520225","144.90508610","Metro West","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT EVELYN","3796","-37.78505900","145.37999500","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","AVONDALE HEIGHTS","3034","-37.76296000","144.85771200","Metro West","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT HOTHAM","3741","-36.99497600","147.15139300","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","VIEWBANK","3084","-37.74033900","145.09248000","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","HOTHAM HEIGHTS","3741","-36.98634600","147.14706500","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","FALLS CREEK","3699","-36.86407150","147.28078430","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","FLINDERS","3929","-38.47978850","145.02442170","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","HOTHAM HEIGHTS","3741","-36.98634600","147.14706500","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","FALLS CREEK","3699","-36.86440300","147.28041000","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOORABBIN","3189","-37.94106369","145.03161820","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","BEAUMARIS","3193","-37.98249680","145.03448250","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","BRIGHTON NORTH","3186","-37.90500965","145.00304330","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","YINNAR","3869","-38.29745900","146.35904100","Gippsland","Not allowed"
"BYO Permit","Unspecified","Unspecified","DANDENONG","3175","-37.97935000","145.21215600","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","NOTTING HILL","3121","-37.90273400","145.13217400","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","WODONGA","3690","-36.12693855","146.89668930","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","SPRINGVALE","3170","-37.94277700","145.15686100","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","HIGHETT","3190","-37.95158600","145.05271510","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","UPWEY","3158","-37.90481100","145.33118700","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT MARTHA","3934","-38.28550874","145.02411110","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","THE BASIN","3154","-37.85316100","145.29988100","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14565140","146.45413650","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","HORSHAM","3400","-36.71886600","142.20544000","Grampians","Not allowed"
"BYO Permit","Unspecified","Unspecified","QUEENSCLIFF","3225","-38.26953750","144.64458630","Barwon South-West","Not allowed"
"BYO Permit","Unspecified","Unspecified","BRUNSWICK EAST","3057","-37.74533100","144.97779100","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","CAMBERWELL","3124","-37.84019300","145.07193900","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","WANTIRNA","3152","-37.85835830","145.20873150","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MT WAVERLEY","3149","-37.88615600","145.11499700","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","MONBULK","3793","-37.87313200","145.41057900","Metro East","Not allowed"
"BYO Permit","Unspecified","Unspecified","CLAYTON SOUTH","3169","-37.95630350","145.13247130","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","RED HILL","3937","-38.37015320","145.01227190","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","KEYSBOROUGH","3173","-38.00214200","145.17431500","Metro South","Not allowed"
"BYO Permit","Unspecified","Unspecified","RYE","3941","-38.37108853","144.81372380","Metro South","Not allowed"
